DSS No.,Asset development stages,Leading practice area,Leading practice activity,Context,Decision(s),Rationale,Information requirements,Technical and process considerations,Related ARD/ML leading practices areas/activities,Useful GARD Guide resources,Figure 1,Figure 2,Figure 3,Content
22,Design,Integrated closure,Integrated Closure,"The prediction, prevention, and management of ARD/ML is a critical component of closure planning for any asset where there is a potential for the generation of ARD/ML. Expending additional resources early in the life of asset to collect materials characterisation and baseline data, and model ARD/ML issues to support credible projections of long-term closure implications allows the development of an optimised mine design, ideally with a focus on ARD/ML avoidance and prevention rather than relying on mitigation or treatment at closure.

The concept of “design for closure” should be applied in the design of all mine and process facilities that have an ARD/ML potential. Design for closure requires that the full life of asset be considered in the design of the mine components so that the desired mine closure conditions are achieved as part of operations rather than as closure solutions executed when there are no operational synergies or mine revenue. Implementing the “design for closure” approach for ARD/ML is achieved by integrating closure planning with ARD/ML management planning and mine planning. While the characterisation and predictions for ARD/ML will be refined over the life of the asset, there is an imperative to start identification of the nature and extent (spatial and temporal) of any ARD/ML issues as early as practicable.

Like ARD/ML management plans, closure plans are also developed iteratively, with increasing levels of detail and reduced uncertainty over the life of the asset. ARD/ML management plans should be prepared and implemented, integrating the requirements for progressive (concurrent) and final mine closure.",(1) Are mechanisms identified and documented for ARD/ML leading practice areas and activities that integrate closure and post closure requirements and support the early stages of closure planning?,"Ideally, it should be known at the earliest stages of mine planning if there will be need for significant ARD/ML mitigation works throughout the life of asset. Avoidance and prevention should be the focus. Where closure management and / or ongoing treatment are identified, the risks associated with these activities, the high level of uncertainty and potential for changing expectations, as well as ongoing cost profile should be fully assessed against other mitigations measures that require active involvement. The design stage represents the most opportune stage for identification of the nature and extent of any ARD/ML issues. Where there is a potential for ARD/ML, a key element of integrated closure planning is to incorporate measures to prevent that potential from being realised from the beginning. ","(1) Results from geochemical characterisation program 
(2) Results from prediction of drainage chemistry
(3) Company drainage prediction guidelines/requirements
(4) Company closure guidelines/requirements
(5) Applicable regulatory guidelines
(6) Risk acceptance by company and stakeholders","Key approaches when implementing the “design for closure” concept include:
(1) Adapt the design of the mine’s components, to the extent practical, to accommodate efficient and durable operational management measures that do not result in ongoing closure liabilities. 
(2) Avoid designs that result in unacceptable post-mining land capabilities and uses and/or impractical or costly closure implementation and/or require extensive and prolonged post closure care. 
(3) Avoid designs that unnecessarily increase the liability associated with the asset during the post closure period.
(4) Maximise the potential for progressive mine closure during operations as this both reduces the cost of closure, and also allows the performance of closure measures relevant to ARD/ML management to be assessed and improved as necessary. This also has the benefit of reducing closure liability. 

Integrated closure planning initially considers a range of feasible and integrated mine and closure alternatives, which are progressively eliminated until preferred options are selected that, on balance, best achieve the closure objectives and requirements. Even at early stages, it is necessary to identify an option that will be used as the basis for closure planning and cost estimations. Closure designs should be established at the level applicable to regulatory and company requirements while also providing sufficient understanding of their ability to manage ARD/ML impacts and meet the required KPIs and closure objectives identified in the ARD/ML management plan. 

Common closure activities related to ARD/ML management include:
(1) Flooding of open pits and underground workings (either actively or passively after the cessation of dewatering activities) so that exposed potentially acid generating/forming material is resubmerged as soon as possible.
(2) Resloping/reshaping or other stabilising activities (eg armouring) to achieve long-term geotechnically stable configurations and/or facilitate cover placement, with the objective to minimise potential re-exposure of potentially acid generating/forming material.
(3) Cover placement over mine wastes to limit contact water and/or ingress of oxygen.
(4) Reconfiguration of surface water management landforms to direct non-contact water away from reactive material.
(5) Construction or modification of water treatment facilities, as an ongoing management option.","(1) Develop and refine ARD/ML management plan → Characterisation
(2) Develop and refine ARD/ML management plan → Prediction 
(3) Develop and refine ARD/ML management plan → Prevention, mitigation, and treatment ","(1) Chapter 9, Section 9.2.5: Design for Closure
(2) Chapter 11: Sustainable Mine Closure",No figure,No figure,No figure,Y
23,Construction,ARD/ML Governance and Strategy,Define ARD/ML Governance and Strategy at Corporate Level,,,,,,,,,,,N
24,Construction,"ARD/ML Objectives, Standards, and KPIs","Set ARD/ML Objectives, Standards, and KPIs at Asset Level",,,,,,,,,,,N
25,Construction,Develop and refine ARD/ML management plan,Characterisation,"In this asset development stage, an ARD/ML management plan has been developed and outlines geochemical characterisation activities occurring during construction. Characterisation focuses on verification of construction materials and early development mine waste. Geochemical characterisation of ore and mine waste materials initiated during exploration/design is ongoing.",(1) Are there reasons to deviate from the verification or characterisation activities defined in the ARD/ML management plan?,"Implementation of characterisation and verification programs during construction typically requires adjustment to improve operational efficiency and practicality, as well as adapt to changes in construction plans.","(1) ARD/ML management plan and specific characterisation and verification procedures for construction (usually defined in design packages for construction works).
(2) Changes to construction plans.
(3) Operational quality assurance/quality control reporting of geochemical characterisation and/or verification activities. ","(1) Characterisation and verification data are documented and assessed. If adjustments to the characterisation and verification programs are required, document the reasons in revised ARD/ML management plan.
(2) All data generated should be made available in a digital format and asset geochemical database. ","(1) Develop and refine ARD/ML management plan → All leading practice activities 
(2) Monitor and assess performance → Transparency in data management and reporting","(1) Chapter 4: Defining the Problem – Characterisation
(2) Chapter 4, Table 4-4: Geological Characteristics of Mineral Deposits that Affect Their Environmental Signatures 
(3) Chapter 5: Prediction
(4) Chapter 9: ARD/ML Management and Performance Assessment",Picture,No figure,No figure,Y
26,Construction,Develop and Refine ARD/ML Management Plan,Prediction,,,,,,,,,,,N
27,Construction,Develop and refine ARD/ML management plan,"Prevention, Mitigation, and Treatment","In the construction stage, an ARD/ML management plan has been developed to outline geochemical characterisation and monitoring activities during construction. The prevention and mitigation measures for the Construction Stage described in the ARD/ML management plan are implemented. Monitoring is conducted and uncertainties identified that require adaptive management.","(1) Are there changes that occur during the Construction Stage that warrant a change in the described prevention, mitigation, or treatment strategies in the ARD/ML management plan?
(2) Are the implications of these changes defined for all remaining asset development stages?","Variation in as-built conditions vs. designs, and the results of the construction stage monitoring and performance assessment require reassessment of the applicability of the prevention, mitigation and treatment measures described in the ARD/ML management plan, and revision as appropriate.","(1) Results from geochemical characterisation program 
(2) Results from prediction of drainage chemistry
(3) Standard operating procedures
(4) Company drainage prediction guidelines/requirements
(5) Applicable regulatory guidelines and site permit requirements
(6) Monitoring data
(7) Key performance indicators
(8) Adaptive management ","If the results of the construction stage monitoring and performance assessment require reassessment of the applicability of the prevention, mitigation and treatment measures described in the ARD/ML management plan, the ARD/ML management plan is revised as appropriate.","(1) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level
(2) Develop and refine ARD/ML management plan → Characterisation
(3) Develop and refine ARD/ML management plan → Prediction
(4) Develop and refine ARD/ML management plan → Monitoring plan
(5) Implement ARD/ML management plan → Development and integration with mine, water, waste, and closure plans
(6) Monitor and assess performance → Transparency in data management and reporting","(1) Chapter 6: Prevention and Mitigation
(2) Chapter 6, Figure 6-1: Options and Effectiveness with Time
(3) Chapter 6, Figure 6-18: Prevention and Mitigation Evaluation of Alternatives
(4) Chapter 6, Table 6-7: Summary of Prevention and Mitigative Measures and Climate Considerations
(5) Chapter 11: Sustainable Mine Closure",Picture,Picture,Picture,Y
28,Construction,Develop and refine ARD/ML management plan,Monitoring Program Plan,"During construction, the monitoring plan is refined as appropriate. For instance, when encountered conditions differ from those anticipated in the design stage, when new results from geochemical characterisation programs are available, when expectations from stakeholders differ, or when applicable regulations change.","(1) Are changes to the monitoring program (eg addition or removal of sample locations or analytical parameters, revision of sampling frequency, etc.) warranted based on changed objectives or conditions?",The ARD/ML management plan is a dynamic document that is updated as required to incorporate site changes relevant to ARD/ML; the monitoring program is modified accordingly such that the defined objectives of the ARD/ML management plan continue to be met.,"(1) Changes to construction plans
(2) Results from geochemical characterisation program 
(3) Operational (quality assurance/quality control) reporting of geochemical characterisation and/or verification activities 
(4) Monitoring data from previous stages","If modifications to the monitoring program are required to meet the objectives of the ARD/ML management plan, the monitoring plan is updated accordingly.","(1) Develop and refine ARD/ML management plan → Characterisation
(2) Develop and refine ARD/ML management plan → Prediction
(3) Develop and refine ARD/ML management plan → Prevention, mitigation, and treatment
(4) Continual improvement of ARD/ML practices → Adaptive management",(1) Chapter 8: Monitoring,No figure,No figure,No figure,Y
29,Construction,Develop and refine ARD/ML management plan,"Development and Integration with Mine, Water, Waste, and Closure Plans","In the construction stage, the ARD/ML management plan is refined as appropriate based on changes in, for instance, construction plans, mine planning, ARD/ML geochemical verification, and characterisation programs and ARD/ML monitoring data.",(1) Should the ARD/ML management plan be updated?,Implementation of ARD/ML management activities commence during the construction stage. Implementation during construction usually includes adjustments and refinements of the ARD/ML management practices to improve operational efficiencies and to adjust to any changes in the construction plans. Relevant data and information are captured in the ARD/ML management plan for reference and use in the subsequent asset development stages.,"(1) ARD/ML management plan developed during the design stage
(2) Results from geochemical verification and/ or characterisation programs during construction 
(3) Changes in construction and/or mine plans
(4) ARD/ML monitoring data
(5) Any changes to (integrated) mine waste and water management plans","Results from geochemical verification and characterisation programs should be interpreted against program objectives and documented for reference in the ARD/ML management plan. Key findings from the construction stage geochemical verification and characterisation programs should be summarised in a revision of the ARD/ML management plan and included in the ARD/ML database for the mine site.

Any changes to mine water and/or waste management concepts and plans should be reflected in the ARD/ML management plan to ensure consistency between the operational plans and supporting data/information. 

It is essential that all disciplines and functions responsible for ARD/ML planning, mine planning, mine waste planning, mine water management planning, closure planning, and social engagement communicate on a regular basis and develop a record of topics discussed, decisions made, required actions, and responsible/accountable parties for execution of those actions.",(1) Develop and refine ARD/ML management plan → All leading practice activities,"(1) Chapter 3: Corporate, Regulatory, and Community Framework
(2) Chapter 9: Acid Rock Drainage Management and Performance Assessment
(3) Chapter 10: Acid Rock Drainage Communication and Consulting
(4) Chapter 11: Sustainable Mine Closure ",No figure,No figure,No figure,Y
30,Construction,Implement ARD/ML plan,Integration with Mine Planning and Operations,"The ARD/ML management plan is developed during the design stage and implemented in the construction stage through use of management systems and standard operating procedures. Management systems, such as environmental management systems (EMS) are used to implement construction stage ARD/ML management activities. ARD/ML management activities are defined in the ARD/ML management plan/or related environmental, mine water and mine waste and closure management and monitoring plans.","(1) Are mechanisms identified and described to implement the ARD/ML management plan in the construction asset development stage in an integrated way with mine planning, operations, and the closure plan?",Effective implementation of ARD/ML management activities during the construction stage is important to preventing and mitigating ARD/ML risks associated with the asset. It is in the construction stage where ARD/ML prevention and mitigation measures are put in place for the remainder of the life of asset. Proper implementation of ARD/ML management activities will also prevent the development of new ARD/ML risks as a result of construction activities. ,"(1) ARD/ML management plan with specific focus on ARD/ML activities identified for construction
(2) Description of environmental management systems and relevant management system structure and activities
(3) Standard operating procedures and/or specifications for ARD/ML management activities
(4) Mine plan, which includes the integrated closure plan","It is essential that all functions responsible for ARD/ML planning, mine planning, mine waste planning, mine water management planning, closure planning, and social engagement communicate on a regular basis and develop a record of topics discussed, decisions made, required actions, and responsible/accountable parties for execution of those actions.","(1) Define and refine ARD/ML management plan → Development and integration with mine, water, waste, and closure plans
(2) Monitor and assess performance → Transparency in data management and reporting
(3) Continual improvement of ARD/ML practices → Adaptive management","(1) Chapter 9: Acid Rock Drainage Management and Performance Assessment
(2) Chapter 10: Acid Rock Drainage Communication and Consulting
(3) Chapter 11: Sustainable Mine Closure ",No figure,No figure,No figure,Y
31,Construction,Monitor and assess performance,Transparency in Data Management and Reporting,"Monitoring is conducted to assess field performance as compared to the design goals and objectives of the ARD/ML management plan. Performance indicators reflect how well elements of the ARD/ML management plan are performing against expected values. If the objectives are met, performance assessment and monitoring continue throughout the life of asset, with periodic checks against the goals. If the objectives are not met, redesign and re-evaluation of the ARD/ML management plan, and performance assessment and monitoring systems for ARD/ML prevention and mitigation, are required. This additional work typically includes further geochemical characterisation and prediction assessments.","(1) Are the geochemical characteristics of the construction materials and early development mine waste rock and mine face exposure as expected?
(2) Are chemical characteristics of the groundwater and surface water as expected?",The ARD/ML management plan is a dynamic document that is updated as required to incorporate site changes relevant to ARD/ML; the monitoring program is modified accordingly to adjust to changes in construction plans such that the defined objectives of the ARD/ML management plan continue to be met.,"(1) Results from geochemical characterisation program 
(2) Results from prediction of drainage chemistry
(3) Standard operating procedures
(4) Company drainage prediction guidelines/requirements
(5) Applicable regulatory guidelines and site permit requirements
(6) Key performance indicators
(7) Adaptive management ","Examples of performance indicators include:
(1) Construction materials properties and placement locations relative to requirements in the mine plan
(2) As-built construction relative to the design requirements, or
(3) ARD/ML properties of mine wastes relative to those designed for in the mine plan.

ARD/ML data and information obtained during the construction stage need to be compiled in a systematic manner in an electronic repository accessible to all functions involved with ARD/ML management. A record should be kept of formal discussions of ARD/ML related topics, decisions made, required actions, and responsible/accountable parties for execution of those actions.","(1) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level
(2) Develop and refine ARD/ML management plan → Characterisation
(3) Develop and refine ARD/ML management plan → Prediction
(4) Develop and refine ARD/ML management plan → Prevention, mitigation, and treatment
(5) Define and refine ARD/ML management plan → Monitoring plan
(6) Define and refine ARD/ML management plan → Development and integration with mine, water, waste, and closure plans
(7) Implement ARD/ML management plan → Integration with mine planning and operations
(8) Monitor and assess performance → Transparency in data management and reporting
(9) Continual improvement of ARD/ML practices → Adaptive management
(10) Integrated closure → Integrated closure","(1) Chapter 9: Acid Rock Drainage Management and Performance Assessment
(2) Chapter 11: Sustainable Mine Closure ",No figure,No figure,No figure,Y
32,Construction,Continual improvement of ARD/ML practices,Adaptive Management,"In the construction stage, the results from early monitoring and performance assessment are used to determine if the management practices are meeting the defined objectives of the ARD/ML management plan. An adaptive management plan is developed that describes the uncertainty to be addressed, the process/activities/timeline to address the uncertainty and fulfil the defined objectives of the ARD/ML management plan, the monitoring requirements, and the reporting process. 

In the context of ARD/ML management, adaptive management/continual improvement is the process of using learnings and outcomes as a means to reduce uncertainties and improve management practices for ARD/ML over all asset stages. Since it is not practical to wait years or decades to confirm successful performance of waste management methods, adaptive management techniques are needed to respond to unexpected developments while maintaining environmental protection and cost control. GARD Guide Figure 6-4 illustrates adaptive management and implementation using a phased approach, which starts with the development of hypotheses and conceptual designs based on site characterisation and problem definition. The phased process can begin at any stage of asset development. The key step is to develop a system design that leads to a basis for ongoing evaluation of site conditions, the capacity to make decisions, implement improvements in system design, and verification of the performance of these designs. Regional and local experience at nearby mines, where available, should be used to minimise redundant investigations and to optimise the most successful methods for prevention and control. The phased approach leads to development of a monitoring and maintenance program that reinforces and improves system design and performance.","(1) Are the management practices in the construction stage meeting the defined objectives of the ARD/ML management plan or other integrated management plans, as applicable?","If the current defined objectives are not being met, the adaptive management process should be initiated to address and reduce uncertainties. Adaptive management plans are living documents that are continually updated as project or environmental conditions change. The ARD/ML management plan is similarly updated to reflect adaptive management.","(1) Changes to construction plans 
(2) ARD/ML management plan and other integrated mine waste and water management plans
(3) Construction stage monitoring and performance assessment results
(4) Company drainage prediction guidelines/requirements
(5) Applicable regulatory guidelines and site permit requirements
(6) Key performance indicators","The encountered conditions during the construction stage, and the results of the monitoring program and performance assessment are compared to the results from the geochemical characterisation program and the predictions of drainage chemistry conducted during the design stage and to the defined objectives, standards and KPIs. Unexpected outcomes are assessed, and learnings are identified that will serve to reduce uncertainty. An adaptive management plan is developed that describes the uncertainty to be addressed and the process/activities/timeline to address the uncertainty and fulfil the defined objectives of the ARD/ML management plan. Based on the results of the adaptive management process, the practices described in the integrated mine waste, mine water, closure and ARD/ML management plans are then modified accordingly to better achieve the desired objective of the plans. The monitoring programs are also revised to improve the performance assessment process. ","(1) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level
(2) Define and refine ARD/ML management plan → Characterisation
(3) Define and refine ARD/ML management plan → Prediction
(4) Define and refine ARD/ML management plan → Monitoring plan
(5) Implement ARD/ML management plan → Integration with mine planning and operations
(6) Monitor and assess performance → Transparency in data management and reporting","(1) Chapter 6: Prevention and Mitigation
(2) Chapter 6, Figure 6-3: Adaptive Management Approach to Prevention and Mitigation of ARD
(3) Chapter 6, Figure 6-4: Adaptive Management Implementation by Phased Approach
(4) Chapter 11: Sustainable Mine Closure ",Picture,Picture,No figure,Y
33,Construction,Integrated closure,Integrated Closure,"The prediction, prevention, and management of ARD/ML is a critical component of closure planning for any asset where there is a potential for the generation of ARD/ML. Like ARD/ML management plans, closure plans are also developed iteratively, with increasing levels of detail and problem understanding over the life of asset. ARD/ML management plans should be prepared and implemented with consideration for eventual mine closure.",(1) Are mechanisms identified and documented for ARD/ML leading practice areas and activities that support ongoing closure planning?,"Rationale	The ARD/ML leading practice areas and activities conducted during the construction stage (ie ongoing geochemical characterisation and drainage prediction, development and implementation of prevention and mitigation measures, the initiation of monitoring and performance assessment, adaptive management) support the refinement of the early closure plan. The closure plan is updated as required based on new observations and data and/or on changes to the mine plan or construction activities.","(1) ARD/ML management plan developed during design 
(2) Closure plan developed during design
(3) Results from geochemical verification and/or characterisation programs during construction 
(4) Changes in construction/mine plans
(5) ARD/ML monitoring data
(6) Company drainage prediction guidelines/requirements
(7) Company closure guidelines/requirements
(8) Applicable regulatory guidelines
(9) Risk acceptance by company and stakeholders","If significant changes from the design stage arise during construction, or as new and confirmatory geochemical characterisation data are collected, the ARD/ML management plan and closure plan should be updated.","(1) Develop and refine ARD/ML management plan → Characterisation
(2) Develop and refine ARD/ML management plan → Prediction 
(3) Develop and refine ARD/ML management plan → Prevention, mitigation, and treatment 
(4) Implement ARD/ML management plan → Integration with mine planning and operations
(5) Monitor and assess performance → Transparency in data management and reporting
(6) Continual improvement of ARD/ML practices → Adaptive management",(1) Chapter 11: Sustainable Mine Closure,No figure,No figure,No figure,Y
34,Operations,ARD/ML Governance and Strategy,Define ARD/ML Governance and Strategy at Corporate Level,,,,,,,,,,,N
35,Operations,"ARD/ML objectives, standards, and KPIs","Set ARD/ML Objectives, Standards, and KPIs at Asset Level","The ARD/ML objectives at the asset level should continue to remain relevant as site conditions evolve. As the asset transitions into operations, leading and lagging key performance indicators (KPIs) are used to assess the implementation of an ARD/ML management strategies.","(1) Are KPIs successfully allowing for the evaluation of ARD/ML objectives? 
(2) Are ARD/ML objectives being achieved, exceeded, or not met?","If measures are not effective and objectives are not being met, then intervention and modification of prevention/mitigation measures will be required to reduce risk of further environmental impacts and reduce additional costs during operations and into closure.","(1) Up to date inventory of materials being produced by asset activities (see GARD Guide table 4-2), the volumes being produced, their geochemical characterisation data, and ARD/ML potential
(2) Water quality monitoring data (seepage, drainage, receiving environment)",(1) Continued engagement with regulator and other asset stakeholders,"(1) ARD/ML governance and strategy → Define ARD/ML governance and strategy at corporate level
(2) Monitor and assess performance → Transparency in data management and reporting
(3) Continual improvement of ARD/ML practices → Adaptive management","(1) Chapter 3: Corporate, Regulatory, and Community Framework
(2) Chapter 4: Defining the Problem – Characterisation
(3) Chapter 8: Monitoring
(4) Chapter 10: Acid Rock Drainage Communication and Consulting
(5) Chapter 11: Sustainable Mine Closure ",Picture,No figure,No figure,Y
36,Operations,Develop and refine ARD/ML management plan,Characterisation,"In this asset development stage, an ARD/ML management plan has been developed and outlines geochemical characterisation activities during operations. These typically focus on verification of mine waste ARD/ML properties. 

Geochemical characterisation may be required of new materials (ore, mine waste) that have not been previously characterised (eg due to changes in the mine plan, encountering unexpected geological conditions, or changes to the metallurgical process). Characterisation programs initiated during exploration/design/construction are ongoing.","(1) Are there reasons to deviate from the verification or characterisation activities defined in the ARD/ML management plan?
(2) Are there new materials requiring ARD/ML characterisation?","Implementation of operational geochemical characterisation and verification programs typically require adjustment to improve operational efficiency and practicality, as well as adapt to any changes in mine operation.","(1) ARD/ML management plan and specific characterisation and verification procedures for operations.
(2) Changes to mine plan, specifically if new materials will be disturbed or produced.
(3) Operational quality assurance/quality control reporting of geochemical characterisation and/or verification activities. ","(1) If adjustments to the characterisation and verification programs are required, document the reasons in revised ARD/ML management plan. The ARD/ML management plan is a dynamic document that is updated periodically to incorporate changes to ARD/ML management activities.
(2) If new materials are characterised, follow site testing procedures
(3) All data generated should be made available in a digital format and asset geochemical database.","(1) Develop and refine ARD/ML management plan → All leading practice activities
(2) Develop and refine ARD/ML management plan → Characterisation
(3) Monitor and assess performance → Transparency in data management and reporting","(1) Chapter 4: Defining the Problem – Characterisation
(2) Chapter 4, Table 4-4: Geological Characteristics of Mineral Deposits that Affect Their Environmental Signatures 
(3) Chapter 5: Prediction
(4) Chapter 9: ARD/ML Management and Performance Assessment",Picture,No figure,No figure,Y
37,Operations,Develop and refine ARD/ML management plan,Prediction,"During operations, the prediction of drainage chemistry from mine and process wastes focuses on validating predictions made during the asset’s design stage. Data obtained from water quality monitoring programs and ongoing geochemical characterisation programs, combined with operational material management data (eg waste production rates, water volumes), are used to periodically update and refine drainage predictions.

Drainage chemistry predictions are updated if there are significant changes to the mine plan and/or operations (eg mine expansions into uncharacterised rock, new processing methods, new mine waste disposal practices).","(1) Are drainage chemistry predictions that require updating during the operations asset development stage identified?
(2) Are appropriate time frames defined for drainage chemistry predictions that require updating?","Changes to the mine plan during operations can affect asset-wide drainage characteristics and predictions should be updated to maintain or improve their accuracy. These updated predictions are used to identify and implement potential operational efficiencies, inform decisions to amend ARD/ML controls and management plans, reduce long-term uncertainty in predicted values and inform integrated closure planning.","(1) ARD/ML management plan, specific prediction commitments during operations and closure, water quality objectives, and/or threshold parameters. The ARD/ML management plan provides an inventory of drainage predictions conducted in support of the mine design, environmental assessment and mine permitting.
(2) Changes to the mine plan and operational practices such as mine expansion plans, processing methods, and/or mine waste disposal practices.
(3) Surface and groundwater water quality monitoring data relevant to ARD/ML.
(4) Operational material management data (waste production rates, water volumes etc.)
(5) Results from geochemical characterisation and/or verification activities.
(6) Mine water and mine waste management plans
(7) Integrated closure plan","Facility-level and asset-wide drainage chemistry predictions should be updated when there are significant changes to the mine plan or operations such as mining new areas, encountering new geological materials, changes to operating procedures, and changes to mine waste or mine water management strategies. If updated predicted drainage chemistries are significantly different compared to previous predictions, consideration should be given to updating the asset’s water quality model.

Comparing water quality monitoring data during operations with predicted values assesses the performance of ARD/ML measures. Significant deviation from predicted values is a trigger to consider updating all or part of the asset’s water quality model (including additional geochemical characterisation and source term updates). In parallel, evaluate mine water and mine waste management practices to determine their efficacy, and closure plans to maintain relevance to the current situation and liabilities.

Water quality models can be used to evaluate alternative water management concepts and strategies. Models should be updated when water management strategies are updated. 

All data and information generated by prediction activities should be made available in a digital format, included (consolidated) and properly referenced in the ARD/ML management plan.

Significant changes in predicted drainage chemistries should be communicated for inclusion in closure planning and liability reporting.","(1) Develop and refine ARD/ML management plan → All leading practice activities 
(2) Develop and refine ARD/ML management plan → Characterisation
(3) Implement ARD/ML management plan → Development and integration with mine, water, waste, and closure plans
(4) Monitor and assess performance → Transparency in data management and reporting 
(5) Integrated closure → Integrated closure","(1) Chapter 4: Defining the Problem - Characterisation
(2) Chapter 4, Table 4-4: Geological Characteristics of Mineral Deposits that Affect Their Environmental Signatures
(3) Chapter 5: Prediction
(4) Chapter 9: ARD/ML Management and Performance Assessment
(5) Chapter 11: Sustainable Mine Closure",Picture,No figure,No figure,Y
38,Operations,Develop and refine ARD/ML management plan,"Prevention, Mitigation, and Treatment","In the operations stage, the prevention and mitigation measures described in the ARD/ML management plan are followed. Monitoring, data analysis and interpretation are conducted as described in the ARD/ML management plan and the results are used to inform the adaptive management process and update the ARD/ML management plan as needed.

The integrated closure plan is also updated throughout operations and describes any additional or different prevention and mitigation measures proposed for closure and post closure. ","(1) Are there changes that occur during the operations Stage that warrant a change in the described prevention, mitigation, or treatment strategies in the ARD/ML management plan, which incorporates the closure and post closure stages?","During the operations stage, the prevention, mitigation, and treatment strategies are implemented, and monitoring and performance assessment activities are carried out. The results of the monitoring and performance evaluation are used to reassess the effectiveness of the prevention, mitigation and treatment measures described in the ARD/ML management plan (which incorporates the closure and post closure stages), and the measures and plans are revised as appropriate.","(1) Results from geochemical characterisation program 
(2) Results from prediction of drainage chemistry
(3) Standard operating procedures
(4) Company drainage prediction guidelines/requirements
(5) Applicable regulatory guidelines and site permit requirements
(6) Monitoring data
(7) Key performance indicators","Methods for prevention and mitigation of ARD/ML applied during the operations stage for facilities such as waste rock and tailings storage facilities, open pits and underground workings may include, but are not limited to:
(1) re-mining to remove remaining valuable material, improve waste disposal systems, and reduce sulphide minerals
(2) waste rock segregation into potentially acid generating/forming and non-potentially acid generating/forming, where potentially acid generating/forming materials may be used or placed in engineered configurations to minimise impacts to the receiving environment
(3) tailings desulphurisation - separation of non-economic sulphide minerals into a low-volume stream, leaving the majority of the tailings with a low sulphur content that will be less reactive and preferably non-acid generating
(4) compaction and physical tailings conditioning (eg thickening, filtration, compaction, and gradation control) to improve physical properties, such as reduction of hydraulic conductivity, to limit the ARD/ML process
(5) encapsulation/layering - acid producing and acid consuming materials (typically waste rock) are placed in geometries designed to control or limit ARD/ML
(6) blending - mixing waste rock types of varying acid generation and neutralisation potential to create a deposit that generates a discharge of acceptable quality
(7) co-disposal of waste rock/tailings to reduce access to oxygen and reduce flow rates
(8) additions and amendments (eg passivation, alkaline materials, organic matter, bactericides)
(9) water management methods to reduce infiltration and thereby reduce the volume of affected drainage/potential contaminant loading (eg hydrogeological/hydrodynamic controls, dewatering, diversion, flooding, seals)
(10) engineered barriers to either cover waste or to provide a bottom barrier (eg liners, dry covers, water covers) or both

A risk assessment should be conducted to evaluate all aspects of the treatment process using a standard Failure Modes and Effects Analysis approach, which assesses risk based on consequence and likelihood. Five main areas are typically included: (1) influent volume and quality, (2) treatment system, (3) effluent volume and quality, (4) byproduct management, and (5) site conditions. A wide spectrum of active, passive, and in-situ drainage treatment technologies has been developed, proven, and applied to many different applications. If the results of the Operations Stage monitoring and performance assessment require reassessment of the applicability of the prevention, mitigation and treatment measures described in the ARD/ML management plan, the ARD/ML management plan is revised as appropriate.","(1) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level
(2) Develop and refine ARD/ML management plan → Characterisation
(3) Develop and refine ARD/ML management plan → Prediction
(4) Develop and refine ARD/ML management plan → Monitoring plan
(5) Implement ARD/ML management plan → Development and integration with mine, water, waste, and closure plans
(6) Monitor and assess performance → Transparency in data management and reporting","(1) Chapter 6: Prevention and Mitigation
(2) Chapter 6, Figure 6-1: Options and Effectiveness with Time
(3) Chapter 6, Figure 6-18: Prevention and Mitigation Evaluation of Alternatives
(4) Chapter 6, Table 6-7: Summary of Prevention and Mitigative Measures and Climate Considerations
(5) Chapter 7, Section 7.5: Mine Drainage Treatment Technologies
(6) Chapter 11: Sustainable Mine Closure",Picture,Picture,Picture,Y
